component_id,path,layer,alpha_specific,survives_if_contract_met,survives_if_contract_violated,contract_dependency,swap_evidence,stateful,doc_status,impl_evidence,divergence,swing_transfer_label,intraday_transfer_label,last_phase
SC_SIGNAL_CONTRACT,systems/trading_rules.py:TradingRule.call -> forecasting.py -> forecast_scale_cap.py -> forecast_combine.py -> positionsizing.py,CROSS_LAYER,N,Y,N,The observed interface itself (report section 5). Case B violates it by definition,INFERRED,N,DOCUMENTED,VERIFIED,Y,NOT YET ASSESSED,NOT YET ASSESSED,5
C01_SYSTEM,systems/basesystem.py:System,CROSS_LAYER,N,Y,Y,A:unchanged. B:unchanged as a container; the problem sits in the stages,INFERRED,Y,DOCUMENTED,VERIFIED,N,NOT YET ASSESSED,NOT YET ASSESSED,5
C02_STAGE,systems/stage.py:SystemStage,CROSS_LAYER,N,Y,Y,A:unchanged. B:the pattern survives; stages that need path/position state need redesign,INFERRED,N,DOCUMENTED,VERIFIED,N,NOT YET ASSESSED,NOT YET ASSESSED,5
C03_CACHE,systems/system_cache.py:systemCache+decorators,CROSS_LAYER,N,Y,PARTIAL,A:unchanged. B:memoises whole-history pure functions; cannot carry fill/position feedback into rules,INFERRED,Y,DOCUMENTED,VERIFIED,Y,NOT YET ASSESSED,NOT YET ASSESSED,5
C04_CONFIG,sysdata/config/configdata.py:Config;sysdata/config/defaults.yaml,CROSS_LAYER,N,Y,Y,A/B: parameter store; independent of the signal,INFERRED,N,DOCUMENTED,INFERRED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
C05_SIMDATA,sysdata/sim/sim_data.py:simData;futures_sim_data.py,CROSS_LAYER,N,Y,Y,A/B: data provider; daily_prices resamples to 1B last,INFERRED,N,DOCUMENTED,VERIFIED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
D01_PRICE_ROLL_DATA,"sysobjects/{adjusted_prices,multiple_prices,roll_calendars}.py;sysinit/futures/*",CROSS_LAYER,N,Y,Y,A/B: upstream data; independent of the signal,INFERRED,Y,DOCUMENTED,UNVERIFIED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
A01_TRADING_RULE,systems/trading_rules.py:TradingRule.call,ALPHA,N,Y,PARTIAL,"Defines the contract: f(*data,**args)->Series; zeros->NaN (l.109). B: an event signal fits the call shape but zero=flat is destroyed",INFERRED,N,DOCUMENTED,VERIFIED,Y,NOT YET ASSESSED,NOT YET ASSESSED,5
A02_RULES_STAGE,systems/forecasting.py:Rules.get_raw_forecast,ALPHA,N,Y,PARTIAL,pd.Series(result) coercion (l.102); per instrument x rule; whole history per call,INFERRED,N,DOCUMENTED,VERIFIED,Y,NOT YET ASSESSED,NOT YET ASSESSED,5
A03_PROVIDED_RULES,"systems/provided/rules/*.py (ewmac,carry,breakout,accel,...)",ALPHA,Y,N,N,These are the signals being replaced; inapplicable after a swap,INFERRED,N,DOCUMENTED,VERIFIED,N,NOT YET ASSESSED,NOT YET ASSESSED,5
A04_FORECAST_SCALING,systems/forecast_scale_cap.py:get_scaled_forecast,ALPHA,N,Y,PARTIAL,Assumes a continuous signal whose mean abs value is meaningful. B: sparse signals are scaled on non-zero obs only,INFERRED,N,DOCUMENTED,VERIFIED,Y,NOT YET ASSESSED,NOT YET ASSESSED,5
A05_FORECAST_CAP,systems/forecast_scale_cap.py:get_capped_forecast;forecast_combine.py:_cap_combined_forecast,ALPHA,N,Y,PARTIAL,Clip at +/-20 assumes a scaled magnitude scale. B: binary/fixed-size signals make the cap trivial or distortive,INFERRED,N,DOCUMENTED,VERIFIED,N,NOT YET ASSESSED,NOT YET ASSESSED,5
A06_FORECAST_COMBINATION,systems/forecast_combine.py:get_combined_forecast;get_forecasts_given_rule_list,ALPHA,N,Y,PARTIAL,Linear weighted sum after ffill (l.458). B: ffill holds the last non-zero forecast through exits (EXP-01),TESTED,N,DOCUMENTED,VERIFIED,N,NOT YET ASSESSED,NOT YET ASSESSED,5
A07_FORECAST_MAPPING,systems/forecast_mapping.py:map_forecast_value,ALPHA,N,Y,PARTIAL,Non-linear map assumes a Gaussian forecast distribution (docs l.2581),HYPOTHESIS,N,DOCUMENTED,INFERRED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
A08_FDM_APPLICATION,systems/forecast_combine.py:get_raw_combined_forecast_before_mapping,ALPHA,N,Y,PARTIAL,Scalar multiply; assumes combined risk shrinks via imperfect forecast correlation,INFERRED,N,DOCUMENTED,VERIFIED,N,NOT YET ASSESSED,NOT YET ASSESSED,5
R01_FORECAST_SCALAR_EST,sysquant/estimators/forecast_scalar.py:forecast_scalar,RESEARCH,N,Y,PARTIAL,Expanding mean of CS-median abs forecast; zeros excluded; backfill=True. B: estimates on active periods only,INFERRED,Y,DOCUMENTED,VERIFIED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
R02_VOL_ESTIMATION,systems/rawdata.py:daily_returns_volatility;sysquant/estimators/vol.py:mixed_vol_calc,RESEARCH,N,Y,Y,Price-based; independent of the signal. Daily EWM (35d) blended with slow vol,INFERRED,Y,DOCUMENTED,VERIFIED,Y,NOT YET ASSESSED,NOT YET ASSESSED,5
R03_FORECAST_CORR_EST,sysquant/estimators/pooled_correlation.py;forecast_combine.get_forecast_correlation_matrices,RESEARCH,N,Y,PARTIAL,"Correlation of forecast values (weekly, expanding). B: sparse or held signals distort the correlations",INFERRED,Y,DOCUMENTED,INFERRED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
R04_FDM_EST,sysquant/estimators/diversification_multipliers.py;forecast_combine.get_forecast_diversification_multiplier_estimated,RESEARCH,N,Y,PARTIAL,"f(weights, forecast correlations); capped dm_max 2.5; EWM 125",INFERRED,Y,DOCUMENTED,INFERRED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
R05_FORECAST_WEIGHT_OPT,sysquant/optimisation/*;forecast_combine.get_monthly_raw_forecast_weights_estimated,RESEARCH,N,Y,PARTIAL,Optimises on forecast P&L where position ~ forecast/10 x vol-scaled avg position. B: the P&L proxy ignores the rule's own exits,INFERRED,Y,DOCUMENTED,INFERRED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
R06_INSTRUMENT_WEIGHT_OPT,systems/portfolio.py:get_raw_estimated_instrument_weights;sysquant/optimisation/*,RESEARCH,N,Y,PARTIAL,Optimises on subsystem P&L; indirect dependence on the signal,INFERRED,Y,DOCUMENTED,INFERRED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
R07_INSTRUMENT_CORR_IDM_EST,sysquant/estimators/correlation_over_time.py;portfolio.get_estimated_instrument_diversification_multiplier,RESEARCH,N,Y,PARTIAL,Correlation of subsystem returns (weekly). Indirect dependence on the signal,INFERRED,Y,DOCUMENTED,INFERRED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
R08_FITTING_DATES,sysquant/fitting_dates.py:generate_fitting_dates,RESEARCH,N,Y,Y,Date windowing (expanding/rolling/in_sample); fit_end=period_start; independent of the signal,INFERRED,N,DOCUMENTED,VERIFIED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
